**Method**,**Theoretical coverage**,**Typical coverage**,**Training cost**,**Evaluation cost**
**Naïve**,No guarantee,:math:`< 1-\alpha`,1,:math:`n_{test}`
**Split**,:math:`\geq 1-\alpha`,:math:`\simeq 1-\alpha`,1,:math:`n_{test}`
**Jackknife**,No guarantee,:math:`\simeq 1-\alpha`,:math:`n`,:math:`n_{test}`
,, or :math:`< 1-\alpha` if :math:`\hat{\mu}` unstable,,
**Jackknife+**,:math:`\geq 1-2\alpha`,:math:`\simeq 1-\alpha`,:math:`n`,:math:`n \times n_{test}`
**Jackknife-minmax**,:math:`\geq 1-\alpha`,:math:`> 1-\alpha`,:math:`n`,:math:`n \times n_{test}`
**CV**,No guarantee,:math:`\simeq 1-\alpha`,:math:`K`,:math:`n_{test}`
,, or :math:`< 1-\alpha` if :math:`\hat{\mu}` unstable,,
**CV+**,:math:`\geq 1-2\alpha`,:math:`\gtrsim 1-\alpha`,:math:`K`,:math:`K \times n_{test}`
**CV-minmax**,:math:`\geq 1-\alpha`,:math:`> 1-\alpha`,:math:`K`,:math:`K \times n_{test}`
**Jackknife-aB+**,:math:`\geq 1-2\alpha`,:math:`\gtrsim 1-\alpha`,:math:`K`,:math:`K \times n_{test}`
**Jackknife-aB-minmax**,:math:`\geq 1-\alpha`,:math:`> 1-\alpha`,:math:`K`,:math:`K \times n_{test}`
**Conformalized quantile regressor**,:math:`\geq 1-\alpha`,:math:`\gtrsim 1-\alpha`,:math:`3`,:math:`3 \times n_{test}`
**EnbPI**,:math:`\geq 1-\alpha` (asymptotic),:math:`\gtrsim 1-\alpha`,:math:`K`,:math:`K \times n_{test}`